epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,2139.24,0.16114,0.28427,0.09473,0.98802,0.98551,0.99346,0.94739,0.08025,0.16908,0.08322,0.000679204,0.000679204,0.000679204
55,2176.1,0.14835,0.26113,0.08446,0.98017,0.98551,0.98472,0.93312,0.09258,0.20308,0.09798,0.000665057,0.000665057,0.000665057
56,2212.94,0.13018,0.25317,0.07965,0.99165,0.99505,0.995,0.94666,0.08131,0.1737,0.08794,0.000650909,0.000650909,0.000650909
57,2247.61,0.13056,0.24772,0.0683,0.98933,0.99819,0.995,0.94373,0.08739,0.18081,0.09259,0.000636762,0.000636762,0.000636762
58,2284.26,0.13621,0.24302,0.07895,0.99754,0.98244,0.98915,0.93865,0.08465,0.18813,0.08374,0.000622615,0.000622615,0.000622615
59,2320.07,0.12542,0.25793,0.072,0.97919,0.88971,0.93622,0.88635,0.08904,0.40503,0.09301,0.000608468,0.000608468,0.000608468
60,2355.03,0.13043,0.23429,0.06786,0.95662,0.93688,0.94493,0.89533,0.08007,0.27978,0.07868,0.000594321,0.000594321,0.000594321
61,2391.81,0.12206,0.24571,0.0684,0.9556,0.94312,0.96236,0.90705,0.0857,0.24844,0.08171,0.000580174,0.000580174,0.000580174
62,2430.41,0.13388,0.2521,0.07117,0.97986,0.98551,0.98128,0.93722,0.0847,0.18748,0.0914,0.000566027,0.000566027,0.000566027
63,2465.9,0.12865,0.22626,0.07656,0.99385,0.99632,0.995,0.95352,0.07577,0.17165,0.07711,0.00055188,0.00055188,0.00055188
64,2502.34,0.13785,0.24843,0.06696,0.98434,0.99123,0.99483,0.94764,0.07972,0.20591,0.08424,0.000537733,0.000537733,0.000537733
65,2537.18,0.12125,0.21046,0.06554,0.98467,0.97345,0.98928,0.94296,0.07775,0.21332,0.07842,0.000523586,0.000523586,0.000523586
66,2575.19,0.12192,0.22756,0.06934,0.98592,0.9634,0.99275,0.94504,0.0793,0.21509,0.08104,0.000509438,0.000509438,0.000509438
67,2608.51,0.13356,0.23941,0.07752,0.98954,0.97303,0.99367,0.9438,0.0806,0.21922,0.07731,0.000495291,0.000495291,0.000495291
68,2643.37,0.13561,0.21866,0.07992,0.99355,0.89437,0.93313,0.88513,0.09735,0.33288,0.10465,0.000481144,0.000481144,0.000481144
69,2676.22,0.13458,0.237,0.07252,0.9909,0.82942,0.89594,0.83682,0.11448,0.37763,0.12846,0.000466997,0.000466997,0.000466997
70,2711.81,0.13877,0.26214,0.08513,0.98238,0.90587,0.92721,0.87648,0.11202,0.31036,0.11843,0.00045285,0.00045285,0.00045285
71,2746.21,0.12806,0.24007,0.07357,0.98887,0.88995,0.91905,0.86238,0.11718,0.35676,0.13155,0.000438703,0.000438703,0.000438703
72,2779.24,0.14427,0.22026,0.08478,0.98986,0.9043,0.93007,0.87031,0.10977,0.30509,0.11527,0.000424556,0.000424556,0.000424556
73,2814.44,0.1099,0.20997,0.06457,0.97628,0.8979,0.92166,0.86239,0.1046,0.35329,0.10366,0.000410409,0.000410409,0.000410409
74,2853.24,0.12723,0.21005,0.06786,0.99159,0.89732,0.93744,0.8777,0.09679,0.38416,0.10461,0.000396262,0.000396262,0.000396262
75,2891.55,0.12605,0.2378,0.08959,0.99051,0.89015,0.92754,0.86994,0.09914,0.35712,0.1073,0.000382115,0.000382115,0.000382115
76,2932.06,0.13497,0.21396,0.07942,0.99244,0.96887,0.98774,0.94003,0.07529,0.20448,0.07127,0.000367967,0.000367967,0.000367967
77,2970.8,0.14233,0.22426,0.07205,0.99449,0.96611,0.99312,0.94812,0.07511,0.16819,0.07034,0.00035382,0.00035382,0.00035382
78,3007.01,0.11729,0.19882,0.06559,0.99045,0.94641,0.95572,0.91156,0.08103,0.25542,0.07693,0.000339673,0.000339673,0.000339673
79,3047.06,0.11881,0.19767,0.0612,0.98813,0.91565,0.94758,0.89796,0.09417,0.27098,0.09371,0.000325526,0.000325526,0.000325526
80,3087.3,0.13515,0.2097,0.07048,0.9895,0.92295,0.95565,0.90872,0.08275,0.25625,0.08477,0.000311379,0.000311379,0.000311379
81,3122.98,0.12206,0.22359,0.06591,0.99023,0.91987,0.93907,0.88906,0.08988,0.30593,0.09175,0.000297232,0.000297232,0.000297232
82,3160.1,0.11832,0.20355,0.06492,0.98701,0.94387,0.97105,0.92305,0.07961,0.26253,0.0849,0.000283085,0.000283085,0.000283085
83,3201.22,0.11594,0.20958,0.06254,0.99138,0.93698,0.96823,0.91621,0.08334,0.25224,0.09123,0.000268938,0.000268938,0.000268938
